Timestamp,Please write your name here.／お名前,Please write your Twitter ID here.／Twitter ID,Write your message here (200 chars. max)／メッセージ,"If you have a drawing you want to share, please upload it here!／送りたい絵がありましたら、アップロードしてください！","If you have a drawing you like to send, please upload it here!／絵があれば、アップロードして下さい"
12/13/2021 10:12:21,Sebas,sebazabe,"HAPPY BIRTHDAY NANAAAAA.
I hope you have a great day! 
Nana is life, Nana is Love~ 
Big and Strong hug ❤",,
12/16/2021 8:07:33,Raymond Laurence,@raymond_lcl,"Hey, Nana! You deserve to eat and drink your favorites today because it is your birthday! Happy Birthday! I'm wishing you all the happiness and love in the world. 今日の主役は君なんだので楽しみください！！",,
12/16/2021 19:27:40,exile,@Exile_something,happy birthday mama nanaaa!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,,
12/16/2021 20:07:35,Monkinator,@InarThe,"Hi, Nana! I was introduced to you by ame, the project contributor, since then I get to learn more about you and what you did! Such as illustrating for Ayame, singing for Tantei wa mo Shinderu and many more! I love your motivation for gaming (no win no end), I love how dedicated you are to a project! Dai suki!",,
12/17/2021 3:34:53,Sale,yuri_trash_,Happy birthday Kagura Nana! I’m a big fan and I’ll continue to support you forever!!!!!!,,
12/17/2021 3:48:18,NoBreadEatLead,@nobreadeatlead,"ナナさん、お誕生日おめでとうございます！！
あやめちゃんなど愛された娘たち産まれて、そしていつも神(楽)絵やお歌ありがとうございます！
これからよろしくおねがいします！！！",,
12/17/2021 8:13:38,ScarLetHrt,@HrtScarlet,Kagura-mama—! !  Happy Birthday~! ! ! I wish the best for you. I hope that you will be happy this year too!!,,
12/17/2021 15:03:20,Fufu,@FuFuwithaGun,"Hi Nana-Sensei,

Happy Birthday yaayyyyyy and thank you so much for everything you done so far. The first time i started to watch you i knew it that your going to be my favourite VTuber. I really like your art, character and your soft, lovley voice.  Everytime when i watch your stream i forget everything in my mind and just having fun watching you. Your actually helped me a lot with your character and thats why you are special for me. Even tho i'm a boy i want to be like you i literally look up at you. Have a nice birthday party with your friends and a lot of fun 

Dear Fufu",,
12/17/2021 23:33:54,Drake_Grazer,@Drake_Grazer,Happy birthday Nana-chan! Your singing and streams always make me smile. Here's to another year of fun memories~! ^w^),,
12/19/2021 4:02:45,アコニー(Acony),@vtakonitto,"ななかぐら先生、カグラナナ様、誕生日おめでとうございます。昨年は自らが掲げていた目標を見事に達成し、感動しました。今後ますます活動の幅が広がるかと思いますが、これからも応援しています。
Happy birthday to Nanakagura-sensei and Kaguranana!
Last year you achieved a goal that you set yourself and it was very impressive.
I'm sure that you will be expanding your activities more and more in the future, and I will continue to root for you.
[Using the DeepL translation]",,
